:START_ID,weight:float,:END_ID,:TYPE
320,9.0,0,CO_OCCUR_WITH
0,7.0,321,CO_OCCUR_WITH
321,7.0,0,CO_OCCUR_WITH
0,26.0,322,CO_OCCUR_WITH
322,26.0,0,CO_OCCUR_WITH
0,29.5,323,CO_OCCUR_WITH
323,29.5,0,CO_OCCUR_WITH
0,9.0,324,CO_OCCUR_WITH
324,9.0,0,CO_OCCUR_WITH
0,31.0,325,CO_OCCUR_WITH
325,31.0,0,CO_OCCUR_WITH
0,21.5,326,CO_OCCUR_WITH
326,21.5,0,CO_OCCUR_WITH
0,4.0,327,CO_OCCUR_WITH
327,4.0,0,CO_OCCUR_WITH
0,15.0,328,CO_OCCUR_WITH
328,15.0,0,CO_OCCUR_WITH
0,11.5,329,CO_OCCUR_WITH
329,11.5,0,CO_OCCUR_WITH
0,18.0,330,CO_OCCUR_WITH
330,18.0,0,CO_OCCUR_WITH
0,7.0,331,CO_OCCUR_WITH
331,7.0,0,CO_OCCUR_WITH
0,15.5,332,CO_OCCUR_WITH
332,15.5,0,CO_OCCUR_WITH
0,2.0,333,CO_OCCUR_WITH
333,2.0,0,CO_OCCUR_WITH
0,30.0,334,CO_OCCUR_WITH
334,30.0,0,CO_OCCUR_WITH
0,7.5,335,CO_OCCUR_WITH
